Name,URL
01 Installing and Configuring Servers Based on Windows Server 2012,http://media.ch9.ms/ch9/f95e/6b73a843-a172-40c6-ba0d-2aab2728f95e/UPGSKILLSWS2012JS01_high.mp4
02 Monitoring and Maintaining Windows Server 2012,http://media.ch9.ms/ch9/20d3/5f963e4b-4101-4b3a-b106-085013dc20d3/UPGSKILLSWS2012JS02_high.mp4
03 Managing Windows Server 2012 by Using Windows PowerShell 3.0,http://media.ch9.ms/ch9/99ad/ab7820b3-4dfe-4e88-adf1-fe8e183f99ad/UPGSKILLSWS2012JS03_high.mp4
04 Managing Storage for Windows Server 2012,http://media.ch9.ms/ch9/bc0d/d7456225-bcb0-434f-bef3-3ad13191bc0d/UPGSKILLSWS2012JS04_high.mp4
05 Implementing Network Services,http://media.ch9.ms/ch9/e625/a500a8e2-0bf5-4464-ac59-e0600458e625/UPGSKILLSWS2012JS05_high.mp4
06 Implementing Direct Access,http://media.ch9.ms/ch9/b18f/808cc282-e538-45d6-842d-0325a0d0b18f/UPGSKILLSWS2012JS06_high.mp4
07 Implementing Failover Clustering,http://media.ch9.ms/ch9/c2dc/d888b7b7-4292-4457-96e0-9796fa5ec2dc/UPGSKILLSWS2012JS07_high.mp4
08 Implementing Hyper-V,http://media.ch9.ms/ch9/c014/01108128-5002-452a-9928-6f4a0963c014/UPGSKILLSWS2012JS08_high.mp4
09 Implementing Failover Clustering with Hyper-V,http://media.ch9.ms/ch9/b375/549fb752-2779-4cda-bffb-df18ce7db375/UPGSKILLSWS2012JS09_high.mp4
10 Implementing Dynamic Access Control,http://media.ch9.ms/ch9/9c90/dbe4c1c4-c553-4eed-b118-835b81769c90/UPGSKILLSWS2012JS10_high.mp4
11 Implementing Active Directory Domain Services,http://media.ch9.ms/ch9/8e2c/550d0028-92e9-45c0-ae17-7f970bd78e2c/UPGSKILLSWS2012JS11_high.mp4
12 Implementing Active Directory Federation Services,http://media.ch9.ms/ch9/cf47/23a520dc-2efd-4bb6-ac0c-3c87f043cf47/UPGSKILLSWS2012JS12_high.mp4
