Name,URL
01 Configuring Lync Room System,http://media.ch9.ms/ch9/3aff/7a6e0412-aafb-415f-9236-37f32e573aff/ConfiguringLyncRoomSystem_high.mp4
02 Meetings and Collaboration,http://media.ch9.ms/ch9/c055/2d10ac10-5e1d-4ed3-8760-96232aa1c055/WhatsNewinMeetingsandCollaborationinLync_high.mp4
03 Identifying Critical Support Dependencies,http://media.ch9.ms/ch9/f2c4/205442dc-e386-4aa8-b021-65fb86baf2c4/IdentifyingCriticalSupportDependenciesforLync_high.mp4
04 What’s New with Lync,http://media.ch9.ms/ch9/207d/0e1802b8-61e8-49bb-9186-026987c5207d/WhatsNewwithLync_high.mp4
05 Securing Lync Deployments,http://media.ch9.ms/ch9/2146/bcb6c325-f4ab-4fec-ba46-9976633f2146/SecuringLyncDeployments_high.mp4
06 Lync Top Support Topics and Troubleshooting Tools,http://media.ch9.ms/ch9/784e/c380fdd8-0e55-43c3-ae36-9e3a7fd9784e/LyncTopSupportTopicsandTroubleshootingTools_high.mp4
07 What's New in Lync Mobile,http://media.ch9.ms/ch9/ebb4/400a3f21-e224-498c-89a0-9750681debb4/WhatsNewinLyncMobile_high.mp4
08 Lync Devices Strategy,http://media.ch9.ms/ch9/0cb4/0ea3a376-3845-43a5-ba89-9f81eef20cb4/LyncDevicesStrategy_high.mp4
09 Lync Enterprise Voice Applications and Features Updates,http://media.ch9.ms/ch9/885c/4e7ffa26-a0f7-4fb8-95f0-5595aef7885c/LyncEnterpriseVoiceApplicationsandFeaturesUpdates_high.mp4
10 Lync Enterprise Voice Core Infrastructure Updates,http://media.ch9.ms/ch9/8668/fa6cce2d-e591-4bd1-a0b7-5cd0249f8668/LyncEnterpriseVoiceCoreInfrastructureUpdates_high.mp4
11 Lync Network Assessment Methodologies,http://media.ch9.ms/ch9/20b2/a6b58b8f-540f-4a38-8aa2-a33f1ede20b2/LyncNetworkAssessmentMethodologies_high.mp4
