Name,URL
01 Voice Architecture,http://media.ch9.ms/ch9/b795/4a51b1f9-60a9-4804-aa10-91985d27b795/Lync337MO1_high.mp4
02 Configuring Basic Enterprise Voice Functionality,http://media.ch9.ms/ch9/81d2/7bb9f862-3881-4bba-97d5-287e56bb81d2/Lync337MO2_high.mp4
"02a Configuring Basic Enterprise Voice Functionality, Demo",http://media.ch9.ms/ch9/8c24/43d2f032-09cb-4da1-95b4-b768f9678c24/Lync337MO2a_high.mp4
03 Designing Exchange Server 2013 Unified Messaging Integration,http://media.ch9.ms/ch9/d60f/16877975-d57e-4c96-9e61-364e3b50d60f/Lync337MO3_high.mp4
04 Voice Applications,http://media.ch9.ms/ch9/3ea0/783a5cff-3366-45eb-9bf2-1a38a75e3ea0/Lync337M04_high.mp4
"04a Voice Applications, Demo",http://media.ch9.ms/ch9/0686/ca8535c3-1553-4b36-91be-7dee00570686/Lync337MO4a_high.mp4
05 Configuring and Deploying Emergency Calling,http://media.ch9.ms/ch9/b9a2/2ad6cf45-95bb-4155-9f63-94c15b2bb9a2/Lync337MO5_high.mp4
06 PSTN Integration,http://media.ch9.ms/ch9/5521/05fcc026-57bd-4e16-a636-110f99e55521/Lync337MO6_high.mp4
"07a Networking, Part 1",http://media.ch9.ms/ch9/6162/e82175b6-c944-493f-943a-e66f88be6162/Lync337MO7a_high.mp4
"07b Networking, Part 2",http://media.ch9.ms/ch9/5eae/822395ac-439f-4e08-aebc-30f832e35eae/Lync337MO7b_high.mp4
"07c Networking, Demo",http://media.ch9.ms/ch9/eacc/c9da19c6-722d-4e73-ade5-1641e82ceacc/Lync337MO7c_high.mp4
08 Phones and Devices,http://media.ch9.ms/ch9/ae0f/ffb74f46-fea8-4bca-923a-a4c5800cae0f/Lync337MO8_high.mp4
09 Online Configuration and Migration,http://media.ch9.ms/ch9/c7b0/56d28cde-6936-46e1-8e40-12dd84ebc7b0/Lync337MO9_high.mp4
10 Monitoring,http://media.ch9.ms/ch9/3ba6/f4849ee1-061a-4d54-8823-0137bbb23ba6/Lync337MO10_high.mp4
11 Voice Resiliency,http://media.ch9.ms/ch9/7b80/d603da28-0580-4668-bc09-7f36cab37b80/Lync337MO11_high.mp4
